time(s),force(N),pressure(Pa)
0.0000,80.1472,90148.5969
0.0070,141.2406,257488.8760
0.0130,186.0451,396338.2152
0.0200,214.8722,644357.1420
0.0270,276.3970,1207800.4689
0.0340,359.2573,2209904.0396
0.0400,458.5670,3226865.3265
0.0470,547.0370,4061925.4157
0.0540,637.0976,4826792.0809
0.0610,701.2411,5426061.9497
0.0680,707.2178,5613430.3848
0.0740,669.2538,5522675.2182
0.0810,647.9677,5374472.7025
0.0880,644.8321,5285010.1458
0.0950,649.7474,5292994.4856
0.1010,662.1736,5361476.8637
0.1080,675.3101,5457053.7736
0.1150,686.7923,5569823.8556
0.1220,699.1541,5684848.3012
0.1290,706.8001,5766976.8777
0.1350,719.5360,5884035.1161
0.1420,732.7421,5991963.9927
0.1490,739.1856,6091636.0596
0.1560,753.6702,6196272.5921
0.1620,758.9446,6279289.9394
0.1690,762.4235,6334911.0916
0.1760,768.0967,6380220.5575
0.1830,796.6582,6476778.6833
0.1900,816.5795,6638337.0872
0.1960,809.7030,6648368.1946
0.2030,812.3111,6631235.0308
0.2100,818.8048,6647137.2147
0.2170,827.7857,6703817.4314
0.2230,832.3489,6747728.8674
0.2300,835.7846,6802206.6194
0.2370,843.6053,6844398.9004
0.2440,830.8554,6840221.0294
0.2510,820.6782,6785550.2779
0.2570,824.8939,6765329.1224
0.2640,836.9637,6807865.2344
0.2710,840.1911,6858766.8196
0.2780,838.1275,6899922.7421
0.2840,842.0238,6925648.4373
0.2910,833.2018,6914324.7200
0.2980,846.7679,6922901.0329
0.3050,847.6247,6964856.5247
0.3120,839.7971,6961860.9781
0.3180,844.3524,6953853.9325
0.3250,848.9968,6975726.1256
0.3320,848.4340,6981869.6720
0.3390,848.5002,7004700.3750
0.3460,869.3153,7054525.0556
0.3520,869.8138,7135283.1736
0.3590,855.1237,7088489.7202
0.3660,845.5501,7012765.8070
0.3730,846.2639,6987461.7913
0.3790,848.9505,6984602.4797
0.3860,850.0455,7011442.3820
0.3930,851.2940,7034775.8568
0.4000,850.8653,7033864.3803
0.4070,847.3732,7020411.1813
0.4130,845.8725,7022083.3029
0.4200,849.6787,7038523.9391
0.4270,856.4054,7066296.4020
0.4340,858.7426,7090820.3105
0.4400,862.0945,7109898.0657
0.4470,858.1260,7102431.0943
0.4540,851.5565,7080870.2954
0.4610,855.1757,7062614.8153
0.4680,856.7948,7072566.4522
0.4740,857.7010,7078054.7736
0.4810,855.7326,7096855.1934
0.4880,860.6391,7130115.9775
0.4950,863.0381,7158154.4228
0.5010,860.5413,7145364.5581
0.5080,857.3580,7130766.3371
0.5150,863.9779,7140280.0761
0.5220,864.7923,7154148.4672
0.5290,866.8481,7186249.6326
0.5350,874.9591,7214860.5889
0.5420,872.3520,7229838.3216
0.5490,876.2464,7240005.6639
0.5560,873.7699,7249384.7898
0.5620,882.4005,7294765.6168
0.5690,885.9359,7324896.2413
0.5760,880.2655,7325658.5082
0.5830,884.8076,7331907.4745
0.5900,889.7132,7355654.5196
0.5960,892.2939,7392483.3613
0.6030,897.2833,7417595.9993
0.6100,897.3751,7437351.6855
0.6170,899.7856,7460388.3628
0.6230,904.3233,7499633.7526
0.6300,911.5581,7536071.7298
0.6370,913.3889,7577555.2648
0.6440,921.2555,7621557.5241
0.6510,921.4717,7653694.3701
0.6570,924.2898,7672760.7723
0.6640,926.9667,7691608.2256
0.6710,928.8593,7705486.3478
0.6780,931.1515,7725783.7300
0.6840,933.4694,7767046.6942
0.6910,941.1956,7800792.4097
0.6980,947.3435,7842313.2472
0.7050,950.2004,7879797.3140
0.7120,958.1128,7926832.4223
0.7180,959.1875,7955500.1431
0.7250,966.0597,7990827.1570
0.7320,968.4878,8032521.5318
0.7390,974.6145,8067245.2195
0.7450,980.3645,8121421.3085
0.7520,987.0955,8178192.3484
0.7590,990.8065,8222702.2450
0.7660,995.5983,8254201.7061
0.7730,998.3025,8286150.4182
0.7790,1004.5571,8318736.5150
0.7860,1012.1511,8376637.9805
0.7930,1015.6115,8419615.2342
0.8000,1018.6969,8455482.3222
0.8060,1023.9333,8498673.6593
0.8130,1032.2146,8559716.6373
0.8200,1035.5576,8603668.6194
0.8270,1038.5530,8636381.2201
0.8340,1043.7092,8668303.9826
0.8400,1049.9170,8710084.3152
0.8470,1055.2285,8764518.2774
0.8540,1062.1025,8806076.4172
0.8610,1067.0381,8866019.7848
0.8670,1075.5134,8927197.3758
0.8740,1079.0020,8971292.0803
0.8810,1084.8772,9016753.9995
0.8880,1093.7355,9075876.7138
0.8950,1097.0265,9135841.1652
0.9010,1105.6624,9187380.1353
0.9080,1111.3003,9236796.1111
0.9150,1117.9828,9299126.8335
0.9220,1123.7275,9346075.9840
0.9280,1128.9701,9402577.7977
0.9350,1138.2589,9465101.5196
0.9420,1138.5466,9509312.9969
0.9490,1144.5356,9555006.8398
0.9560,1151.1881,9587278.2989
0.9620,1155.5829,9626773.4527
0.9690,1157.9289,9660131.5475
0.9760,1157.1208,9682438.3948
0.9830,1160.2504,9698121.6298
0.9890,1159.6884,9707669.4275
0.9960,1157.8674,9708303.5686
1.0030,1159.9161,9708540.3579
1.0100,1155.4818,9700388.9682
1.0170,1148.0274,9678224.8432
1.0230,1146.3396,9654725.9402
1.0300,1143.1440,9630605.8709
1.0370,1137.6624,9613052.6494
1.0440,1137.7595,9594857.1776
1.0500,1131.5350,9560334.5985
1.0570,1125.2982,9524342.6285
1.0640,1122.7784,9488149.5498
1.0710,1115.5208,9446580.0571
1.0780,1111.8152,9406058.2757
1.0840,1107.6702,9376073.6172
1.0910,1101.7678,9347334.5352
1.0980,1098.9922,9310718.1551
1.1050,1098.2052,9290341.3026
1.1110,1097.3768,9290827.8559
1.1180,1099.9346,9286890.0178
1.1250,1099.6047,9291131.1408
1.1320,1096.7408,9285860.1466
1.1390,1094.4708,9278219.6378
1.1450,1098.7446,9287506.3186
1.1520,1096.8610,9281975.8294
1.1590,1096.1429,9277810.9330
1.1660,1096.3917,9274426.1439
1.1720,1094.7137,9272004.7302
1.1790,1094.6908,9264155.0035
1.1860,1088.5519,9248697.2050
1.1930,1085.2672,9224285.2037
1.2000,1085.7313,9209743.7471
1.2060,1087.9388,9204926.8694
1.2130,1086.0490,9210893.6348
1.2200,1091.5175,9225118.8317
1.2270,1092.8145,9239827.3382
1.2330,1093.7578,9253311.3522
1.2400,1094.3957,9265027.5558
1.2470,1092.4036,9267092.1637
1.2540,1091.9801,9265737.9236
1.2610,1095.0841,9263824.1473
1.2670,1088.9310,9254190.3918
1.2740,1087.0721,9242303.8945
1.2810,1086.1705,9239676.5066
1.2880,1084.2648,9234343.8824
1.2950,1087.9087,9236796.1111
1.3010,1088.8325,9236971.2702
1.3080,1086.9692,9238528.2408
1.3150,1090.2496,9242490.4066
1.3220,1088.6218,9247878.1736
1.3280,1087.4175,9248757.2132
1.3350,1090.2065,9254506.6515
1.3420,1090.8206,9266021.7464
1.3490,1094.1505,9281534.6877
1.3560,1092.3974,9282976.5073
1.3620,1091.3925,9287960.4350
1.3690,1092.3755,9278561.8470
1.3760,1090.0260,9275741.4596
1.3830,1089.8725,9277953.6554
1.3890,1092.6994,9286761.8921
1.3960,1093.0842,9291633.9125
1.4030,1093.7265,9292368.6080
1.4100,1095.2406,9298645.1457
1.4170,1097.2443,9310622.4663
1.4230,1096.6382,9319508.5515
1.4300,1098.7240,9329520.1967
