time,pressure (MPA)
0.01,8.466000756
0.017,8.583080261
0.024,8.588099585
0.031,8.681239901
0.038,8.735058654
0.044,8.744518586
0.051,8.756756345
0.058,8.778546957
0.065,8.78737438
0.072,8.789382762
0.078,8.807471236
0.085,8.821784213
0.092,8.819599772
0.099,8.815553666
0.106,8.818269546
0.112,8.826035722
0.119,8.829845452
0.126,8.843322147
0.133,8.85804267
0.139,8.858575739
0.146,8.861317701
0.153,8.879386613
0.16,8.863448346
0.167,8.850545474
0.173,8.82910046
0.18,8.828911359
0.187,8.828992868
0.194,8.822340105
0.201,8.815005926
0.207,8.819521524
0.214,8.825447227
0.221,8.814728796
0.228,8.814389718
0.235,8.814880402
0.241,8.807753257
0.248,8.821906477
0.255,8.823305171
0.262,8.825365718
0.268,8.807725544
0.275,8.802805661
0.282,8.800600028
0.289,8.804018515
0.296,8.833482383
0.302,8.832869435
0.309,8.832983548
0.316,8.836344978
0.323,8.83391275
0.33,8.832492864
0.336,8.843607429
0.343,8.835846143
0.35,8.836869896
0.357,8.846456983
0.364,8.833599756
0.37,8.847330759
0.377,8.875713818
0.384,8.893595259
0.391,8.893230099
0.397,8.893862608
0.404,8.882640451
0.411,8.882705659
0.418,8.883018653
0.425,8.865023099
0.431,8.846879199
0.438,8.84678954
0.445,8.840643762
0.452,8.830401343
0.459,8.823065534
0.465,8.815255344
0.472,8.800937475
0.479,8.806659406
0.486,8.807647295
0.493,8.796400685
0.499,8.785351327
0.506,8.785408384
0.513,8.785664322
0.52,8.786146855
0.526,8.788535068
0.533,8.789325705
0.54,8.767675289
0.547,8.774971973
0.554,8.775883244
0.56,8.778465448
0.567,8.76042588
0.574,8.752056537
0.581,8.746152026
0.588,8.746054216
0.594,8.72405005
0.601,8.72277688
0.608,8.709474614
0.615,8.684899655
0.622,8.684844229
0.628,8.684576879
0.635,8.670272052
0.642,8.670146528
0.649,8.670301396
0.655,8.652025451
0.662,8.652051534
0.669,8.646598583
0.676,8.638023838
0.683,8.627308666
0.689,8.616598386
0.696,8.61327934
0.703,8.584361582
0.71,8.577366481
0.717,8.574159918
0.723,8.56610194
0.73,8.569848093
0.737,8.575380923
0.744,8.577410496
0.751,8.591568607
0.757,8.598783782
0.764,8.599929799
0.771,8.609606545
0.778,8.616613058
0.784,8.611114461
0.791,8.605769102
0.798,8.612775615
