"Pressure (trimmed, MPa)",Time (trimmed)
0,0
0.0239,0.155
0.4591,0.292
3.9938,0.43
3.863,0.574
3.6684,0.719
3.5838,0.874
3.489,1.025
3.4492,1.179
3.3936,1.316
3.3551,1.478
3.2957,1.61
3.2805,1.754
3.2319,1.898
3.2073,2.032
3.1725,2.17
3.0986,2.31
3.0645,2.446
3.0449,2.588
2.9944,2.73
2.964,2.867
2.9394,3.002
2.868,3.147
2.8017,3.298
2.6892,3.438
2.6406,3.572
2.5509,3.711
2.4397,3.852
2.3771,4.002
2.2855,4.143
2.2476,4.278
2.2047,4.417
2.1472,4.558
2.1042,4.7
2.0562,4.842
1.9899,4.974
1.9779,5.115
1.9507,5.266
1.8686,5.41
1.8029,5.559
1.7043,5.694
1.5546,5.832
1.3101,5.985
1.1705,6.135
0.9961,6.276
0.806,6.426
0.6777,6.56
0.4794,6.717
0.4017,6.849
0.365,6.991
0.2905,7.132
0.2197,7.284
0.1679,7.425
0.1313,7.559
0.1073,7.701
0.051,7.834
0.0599,7.973
0.0302,8.113
